Date,Close,Open,High,Low,Volume,Change %
25-Nov-22,"16,220.00","16,270.00","16,380.00","16,065.00",0.17K,-0.22%
23-Nov-22,"16,255.00","15,665.00","16,290.00","15,540.00",7.69K,4.27%
22-Nov-22,"15,590.00","15,355.00","15,770.00","15,190.00",8.04K,1.46%
21-Nov-22,"15,365.00","15,985.00","15,985.00","15,035.00",6.70K,-5.50%
18-Nov-22,"16,260.00","16,415.00","16,645.00","16,130.00",3.14K,-0.18%
17-Nov-22,"16,290.00","16,205.00","16,400.00","15,915.00",1.85K,1.31%
16-Nov-22,"16,080.00","16,490.00","16,635.00","15,850.00",0.95K,-2.60%
15-Nov-22,"16,510.00","15,940.00","16,610.00","15,940.00",1.66K,4.36%
14-Nov-22,"15,820.00","15,600.00","16,590.00","15,030.00",0.66K,0.16%
11-Nov-22,"15,795.00","17,365.00","17,365.00","15,610.00",1.30K,-10.69%
10-Nov-22,"17,685.00","15,300.00","17,850.00","15,180.00",1.93K,13.40%
9-Nov-22,"15,595.00","18,470.00","18,510.00","14,845.00",2.68K,-13.72%
8-Nov-22,"18,075.00","20,480.00","20,670.00","16,875.00",3.38K,-13.31%
7-Nov-22,"20,850.00","21,180.00","21,180.00","20,640.00",0.68K,-0.57%
6-Nov-22,"20,970.00","21,025.00","21,222.50","20,737.50",-,-0.78%
4-Nov-22,"21,135.00","20,210.00","21,330.00","20,200.00",0.98K,4.27%
3-Nov-22,"20,270.00","20,095.00","20,400.00","20,045.00",0.48K,0.07%
2-Nov-22,"20,255.00","20,470.00","20,840.00","20,000.00",0.66K,-1.03%
1-Nov-22,"20,465.00","20,490.00","20,665.00","20,335.00",0.23K,0.49%
31-Oct-22,"20,365.00","20,610.00","20,890.00","20,245.00",0.44K,-1.48%
30-Oct-22,"20,670.00","20,727.50","20,757.50","20,550.00",-,-0.07%
28-Oct-22,"20,685.00","20,525.00","20,780.00","20,030.00",0.58K,-0.17%
27-Oct-22,"20,720.00","20,730.00","20,960.00","20,335.00",8.25K,-0.34%
26-Oct-22,"20,790.00","20,250.00","21,040.00","20,000.00",7.88K,2.46%
25-Oct-22,"20,290.00","19,280.00","20,415.00","19,190.00",7.32K,5.08%
24-Oct-22,"19,310.00","19,485.00","19,605.00","19,110.00",4.74K,-1.43%
23-Oct-22,"19,590.00","19,025.00","19,697.50","19,025.00",-,2.35%
21-Oct-22,"19,140.00","18,985.00","19,205.00","18,590.00",1.61K,0.74%
20-Oct-22,"19,000.00","19,135.00","19,305.00","18,860.00",1.17K,-0.96%
19-Oct-22,"19,185.00","19,255.00","19,315.00","19,015.00",0.44K,0.10%
